gene	chromosome	start	end
RN7SL657P	1	1340841	1341132
MRPL20-DT	1	1344476	1345998
ANKRD65	1	1353800	1357149
TMEM88B	1	1361508	1363167
LINC01770	1	1365919	1369953
VWA1	1	1370241	1378262
ATAD3C	1	1385069	1405538
ATAD3B	1	1407143	1433228
ATAD3A	1	1447531	1470067
TMEM240	1	1470554	1475833
SSU72	1	1477053	1510249
FNDC10	1	1533392	1535476
MIB2	1	1550795	1565990
MMP23B	1	1567474	1570639
CDK11B	1	1570603	1590473
SLC35E2B	1	1592939	1624167
MMP23A	1	1631369	1633249
CDK11A	1	1634169	1655766
SLC35E2A	1	1656277	1677431
NADK	1	1682671	1711896
GNB1	1	1716729	1822495
CALML6	1	1846266	1848735
TMEM52	1	1849029	1850712
CFAP74	1	1853396	1935276
GABRD	1	1950780	1962192
PRKCZ	1	1981909	2116834
PRKCZ-AS1	1	2113233	2115828
FAAP20	1	2115903	2144159
SKI	1	2160134	2241558
MORN1	1	2252692	2323146
RER1	1	2323267	2336883
PEX10	1	2336236	2345236
PLCH2	1	2357419	2436969
PANK4	1	2439972	2458039
HES5	1	2460184	2461684
TNFRSF14-AS1	1	2481359	2488470
TNFRSF14	1	2487078	2496821
PRXL2B	1	2517930	2522908
MMEL1	1	2522078	2564481
MMEL1-AS1	1	2564007	2568059
TTC34	1	2567415	2718286
ACTRT2	1	2938046	2939465
PRDM16-DT	1	2976179	2985001
PRDM16	1	2985732	3355185
ARHGEF16	1	3370990	3397677
MEGF6	1	3406484	3528059
MIR551A	1	3477259	3477354
TPRG1L	1	3541566	3546691
WRAP73	1	3547331	3569325
TP73	1	3569084	3652765
TP73-AS3	1	3575502	3585336
TP73-AS2	1	3628764	3630862
TP73-AS1	1	3652548	3663900
CCDC27	1	3668962	3688209
SMIM1	1	3689352	3692546
LRRC47	1	3696784	3713068
RN7SL574P	1	3699379	3699673
CEP104	1	3728645	3773778
DFFB	1	3773845	3801993
C1orf174	1	3805689	3816857
LINC01134	1	3816936	3833789
LINC01346	1	4000673	4015322
LINC01345	1	4007209	4009040
EEF1DP6	1	4235588	4235959
LINC01777	1	4472111	4484747
LINC01646	1	4631608	4643481
AJAP1	1	4714792	4852594
LINC02782	1	5146519	5150959
MIR4689	1	5922732	5922801
NPHP4	1	5922871	6052533
KCNAB2	1	6051526	6161253
CHD5	1	6161853	6240183
RPL22	1	6241329	6269449
RNF207-AS1	1	6264900	6265840
RNF207	1	6265535	6281359
ICMT	1	6281253	6296032
LINC00337	1	6296300	6299504
HES3	1	6304252	6305638
GPR153	1	6307406	6321035
ACOT7	1	6324329	6454451
HES2	1	6472478	6484730
ESPN	1	6484848	6521430
MIR4252	1	6489894	6489956
TNFRSF25	1	6521211	6526255
PLEKHG5	1	6526152	6580121
NOL9	1	6581407	6614595
RNU6-731P	1	6600914	6601024
TAS1R1	1	6615241	6639817
ZBTB48	1	6640061	6649340
KLHL21	1	6650784	6674667
PHF13	1	6673745	6684093
THAP3	1	6684926	6695646
DNAJC11	1	6694228	6761984
LINC01672	1	6784697	6790072
CAMTA1-DT	1	6843952	6844903
CAMTA1	1	6845384	7829766
RNU1-8P	1	7279420	7279584
CAMTA1-IT1	1	7429003	7430331
CAMTA1-AS2	1	7442548	7449814
CAMTA1-AS1	1	7501156	7501614
VAMP3	1	7831329	7841492
PER3	1	7844380	7905237
UTS2	1	7903143	7913572
TNFRSF9	1	7979907	8000926
PARK7	1	8014351	8045565
ERRFI1	1	8064464	8086368
RNU1-7P	1	8266494	8266657
LINC01714	1	8268732	8275270
RNU6-991P	1	8352217	8352323
SLC45A1	1	8377886	8404227
RERE	1	8412457	8877702
RERE-AS1	1	8484705	8494898
RPL7P11	1	8810489	8811146
RPL7P7	1	8846270	8846972
RPL23AP19	1	8891066	8891434
ENO1	1	8921061	8939308
ENO1-AS1	1	8938894	8939953
RNU6-304P	1	8943486	8943592
HMGN2P17	1	8953468	8954210
CA6	1	9005926	9035151
RN7SL451P	1	9039637	9039933
SLC2A7	1	9063359	9086404
SLC2A5	1	9095166	9148537
GPR157	1	9160364	9189229
MIR34A	1	9211727	9211836
MIR34AHG	1	9242066	9262678
LNCTAM34A	1	9242263	9252148
H6PD	1	9294834	9331396
SPSB1	1	9352939	9429591
RNA5SP40	1	9497728	9497837
SLC25A33	1	9599541	9645237
TMEM201	1	9648932	9674935
PIK3CD	1	9711790	9789172
PIK3CD-AS1	1	9712668	9714644
PIK3CD-AS2	1	9732484	9747613
CLSTN1	1	9789084	9884584
MZT1P1	1	9840880	9841298
CTNNBIP1	1	9908334	9970394
LZIC	1	9982173	10003465
NMNAT1	1	10003486	10045559
RN7SKP269	1	10007376	10007694
MIR5697	1	10027439	10027516
RBP7	1	10057264	10076078
UBE4B	1	10092890	10241297
PGAM1P11	1	10118729	10119706
RNU6-828P	1	10223326	10223432
KIF1B	1	10270863	10441661
RNU6-37P	1	10359024	10359130
RN7SL731P	1	10366523	10366813
PGD	1	10458649	10480201
CENPS	1	10490159	10512210
CENPS-CORT	1	10490159	10512210
CORT	1	10509776	10511959
DFFA	1	10516579	10532583
PEX14	1	10532345	10690815
RN7SL614P	1	10676893	10677170
CASZ1	1	10696661	10856707
HSPE1P24	1	10955818	10956055
C1orf127	1	11006528	11042094
CFL1P6	1	11051035	11051854
TARDBP	1	11072414	11085796
MASP2	1	11086580	11107290
SRM	1	11114641	11120081
EXOSC10	1	11126675	11159938
EXOSC10-AS1	1	11159732	11162157
MTOR	1	11166592	11322564
MTOR-AS1	1	11203955	11209594
RNU6-537P	1	11212407	11212509
ANGPTL7	1	11249398	11256038
RNU6-291P	1	11286311	11286417
RPL39P6	1	11293020	11293169
UBIAD1	1	11333263	11356106
UBE2V2P3	1	11338673	11339408
MTCYBP45	1	11485314	11485878
DISP3	1	11539223	11597641
LINC01647	1	11669588	11673412
FBXO2	1	11708424	11715842
FBXO44	1	11714432	11723384
FBXO6	1	11724181	11734411
MAD2L2	1	11734537	11751707
DRAXIN	1	11751786	11785914
AGTRAP	1	11796141	11814859
C1orf167	1	11821844	11849642
C1orf167-AS1	1	11837134	11839676
MTHFR	1	11845780	11866977
CLCN6	1	11866207	11903201
NPPA	1	11905766	11908402
NPPB	1	11917521	11918988
SBF1P2	1	11937827	11940463
RNU5E-1	1	11968209	11968328
RNU5E-4P	1	11969865	11969984
KIAA2013	1	11979648	11986485
PLOD1	1	11994262	12035595
MFN2	1	12040238	12073571
MIIP	1	12079523	12092102
RN7SL649P	1	12096799	12097071
TNFRSF8	1	12123434	12204264
RNU6-777P	1	12137938	12138041
RPL23AP89	1	12140350	12140604
TNFRSF1B	1	12227060	12269285
MIR4632	1	12251770	12251830
RPL10P17	1	12280851	12281166
VPS13D	1	12290124	12572099
SNORA59A	1	12567300	12567451
LINC02766	1	12587766	12588462
DHRS3	1	12627939	12677737
RNU6ATAC18P	1	12630000	12630100
AADACL4	1	12704566	12727097
AADACL3	1	12776118	12788726
C1orf158	1	12806163	12823847
PRAMEF12	1	12834984	12838049
PRAMEF1	1	12851546	12856777
LINC01784	1	12882549	12883022
PRAMEF30P	1	12897978	12901210
HNRNPCL1	1	12907261	12908578
PRAMEF2	1	12916941	12921764
PRAMEF4	1	12939045	12946025
PRAMEF10	1	12952727	12958101
PRAMEF7	1	12976450	12980569
RNU6-1072P	1	12982374	12982480
PRAMEF29P	1	12985990	12988081
PRAMEF6	1	12998181	13117751
PRAMEF31P	1	13012966	13015755
PRAMEF11	1	13052394	13052998
PRAMEF5	1	13108842	13112679
PRAMEF9	1	13140456	13145000
PRAMEF36P	1	13162645	13165443
PRAMEF35P	1	13171871	13173157
HNRNPCL4	1	13182960	13184326
PRAMEF25	1	13216356	13219581
PRAMEF32P	1	13379149	13381237
RNU6-771P	1	13384735	13384841
PRAMEF8	1	13386646	13390765
PRAMEF33	1	13411551	13414482
PRAMEF15	1	13421176	13428191
PRAMEF13	1	13447414	13452656
PRAMEF18	1	13474689	13477522
PRAMEF14	1	13668269	13673511
PRAMEF19	1	13694889	13698405
PRAMEF17	1	13716092	13719089
PRAMEF20	1	13736907	13747803
LRRC38	1	13801445	13840543
BRWD1P1	1	13881496	13882189
PDPN	1	13909960	13944452
RNA5SP41	1	13949679	13949779
PRDM2	1	14026693	14151574
RNU6-1265P	1	14450728	14450830
KAZN-AS1	1	14675450	14677518
KAZN	1	14925200	15444539
TBCAP2	1	15018625	15019109
TMEM51-AS1	1	15442448	15478960
TMEM51	1	15479028	15546976
TMEM51-AS2	1	15490840	15497813
MFFP1	1	15518324	15519341
FHAD1	1	15573768	15726779
FHAD1-AS1	1	15653176	15670372
EFHD2	1	15736391	15756839
CTRC	1	15764935	15775737
CELA2A	1	15783223	15798586
CELA2B	1	15792404	15817895
CASP9	1	15817327	15853029
DNAJC16	1	15853308	15918874
SCARNA21B	1	15868660	15868799
AGMAT	1	15898848	15911605
CHCHD2P6	1	15931077	15931538
RNU7-179P	1	15934573	15934640
CD24P1	1	15941138	15941362
DDI2	1	15943995	15995539
RSC1A1	1	15986364	15988217
PLEKHM2	1	16010827	16061264
SLC25A34	1	16062900	16067891
SLC25A34-AS1	1	16066546	16076391
TMEM82	1	16068917	16074477
FBLIM1	1	16083102	16113089
RPL12P14	1	16119291	16119780
UQCRHL	1	16133679	16134194
SPEN	1	16174359	16266955
ZBTB17	1	16268364	16302627
TBC1D3P6	1	16316366	16321246
SRARP	1	16330731	16335302
HSPB7	1	16340523	16346089
CLCNKA	1	16345370	16360545
CLCNKB	1	16370272	16383803
FAM131C	1	16384264	16400127
EPHA2	1	16450832	16482582
ARHGEF19	1	16524349	16539104
ARHGEF19-AS1	1	16524349	16524852
ANO7L1	1	16542404	16554522
CPLANE2	1	16558195	16563657
MT1XP1	1	16567708	16567893
FBXO42	1	16573334	16678949
SZRD1	1	16679070	16724640
RPL22P3	1	16695645	16696025
SPATA21	1	16713612	16763919
NECAP2	1	16767167	16786573
LINC01772	1	16787443	16794976
CROCCP3	1	16793931	16825752
RNU1-1	1	16840617	16840780
LINC01783	1	16860381	16862144
PDE4DIPP8	1	16875146	16879026
NBPF1	1	16888814	16940057
CROCCP2	1	16944751	16971178
MST1P2	1	16972069	16976914
RNU1-3	1	16993280	16993443
EIF1AXP1	1	17012116	17012550
ESPNP	1	17013834	17046652
CROCC	1	17066768	17299474
RNU1-4	1	17067011	17067174
CROCCP4	1	17076728	17077459
MST1L	1	17081405	17096732
PDE4DIPP9	1	17181902	17185779
MIR3675	1	17185444	17185516
RNU1-2	1	17222475	17222638
MFAP2	1	17300997	17307330
ATP13A2	1	17312453	17338423
SDHB	1	17345217	17380665
PADI2	1	17393256	17445948
LINC02783	1	17516278	17524112
PADI1	1	17531621	17572500
PADI3	1	17575593	17610728
MIR3972	1	17604384	17604470
PADI4	1	17634690	17690499
PADI6	1	17698691	17728195
RCC2	1	17733256	17766220
RCC2-AS1	1	17733256	17733878
ARHGEF10L	1	17866330	18024369
LINC02810	1	18044182	18076473
ACTL8	1	18081808	18153558
LINC01654	1	18392151	18400906
IGSF21	1	18434240	18704977
IGSF21-AS1	1	18493423	18505840
KLHDC7A	1	18807424	18812478
DYNLL1P3	1	18839612	18839881
PAX7	1	18957500	19075360
TAS1R2	1	19166093	19186176
ALDH4A1	1	19197926	19229275
MIR4695	1	19209696	19209769
MIR1290	1	19223565	19223642
IFFO2	1	19230775	19283180
UBR4	1	19401000	19536770
EMC1-AS1	1	19536995	19567198
EMC1	1	19542158	19578046
MRTO4	1	19578033	19586622
AKR7L	1	19592476	19600688
AKR7A3	1	19609052	19615744
AKR7A2	1	19630459	19638640
RNU6-1099P	1	19631570	19631676
SLC66A1	1	19638820	19655794
CAPZB	1	19665267	19812066
RN7SL277P	1	19750878	19751163
RNU4-28P	1	19837087	19837227
MICOS10-NBL1	1	19923473	19984549
MICOS10	1	19923477	19956314
NBL1	1	19967048	19984945
HTR6	1	19991780	20006055
TMCO4	1	20008706	20126438
RNF186	1	20140523	20141771
OTUD3	1	20209006	20239438
PLA2G2E	1	20246502	20250110
RN7SL304P	1	20297462	20297760
PLA2G2A	1	20301925	20306932
PLA2G5	1	20354672	20417683
PLA2G2D	1	20438432	20446050
PLA2G2F	1	20465819	20476879
PLA2G2C	1	20487746	20503917
UBXN10	1	20512578	20522541
LINC01757	1	20569588	20571148
VWA5B1	1	20617412	20681387
LINC01141	1	20687072	20757727
CAMK2N1	1	20808884	20812713
MUL1	1	20825943	20834654
RPS4XP4	1	20852482	20853244
FAM43B	1	20878932	20881512
CDA	1	20915441	20945401
PINK1	1	20959948	20978004
PINK1-AS	1	20969150	20978686
DDOST	1	20978270	20988000
KIF17	1	20990507	21044510
SH2D5	1	21046225	21059330
HP1BP3	1	21069154	21113816
EIF4G3	1	21132963	21503377
RNU7-200P	1	21167734	21167795
MIR1256	1	21314807	21314925
RPS15AP6	1	21330043	21330427
HSPE1P27	1	21487968	21488574
ECE1	1	21543740	21671997
ECE1-AS1	1	21619783	21626267
PPP1R11P1	1	21724480	21724855
PDE4DIPP10	1	21737953	21739786
NBPF2P	1	21751118	21754460
HS6ST1P1	1	21754796	21756030
CROCCP5	1	21760811	21764051
NBPF3	1	21766621	21811498
PFN1P10	1	21786249	21786575
ALPL	1	21835858	21904905
LINC02596	1	21912965	21917680
RAP1GAP	1	21922708	21995801
USP48	1	22004791	22110099
LDLRAD2	1	22138758	22151714
HSPG2	1	22148738	22263790
CELA3B	1	22303514	22325135
RN7SL386P	1	22313974	22314268
RNU6-1022P	1	22314309	22314412
CELA3A	1	22328149	22339032
RN7SL186P	1	22337143	22337437
RNU6-776P	1	22337478	22337581
LINC01635	1	22350487	22351461
LINC00339	1	22351681	22357716
CDC42	1	22379120	22419437
CDC42-IT1	1	22385690	22390692
MPHOSPH6P1	1	22394833	22395320
WNT4	1	22443798	22470462
MIR4418	1	22592732	22592793
PPIAP34	1	22649333	22649824
ZBTB40	1	22778344	22857650
ZBTB40-IT1	1	22843967	22846201
EPHA8	1	22890057	22930087
C1QA	1	22962999	22966101
C1QC	1	22970123	22974603
C1QB	1	22979255	22988031
EPHB2	1	23037332	23241818
MIR4684	1	23046010	23046091
MIR4253	1	23189652	23189719
LACTBL1	1	23279536	23291831
TEX46	1	23337327	23342343
KDM1A	1	23345941	23410182
MIR3115	1	23370798	23370865
LUZP1	1	23410516	23504301
RNU6-514P	1	23489197	23489303
RNU6-135P	1	23490446	23490546
HTR1D	1	23516993	23521222
LINC01355	1	23607802	23613245
HNRNPR	1	23630264	23670829
ZNF436	1	23685941	23695935
ZNF436-AS1	1	23695490	23698332
TCEA3	1	23707554	23751233
ASAP3	1	23755056	23811061
E2F2	1	23832922	23857712
ID3	1	23884409	23886285
MDS2	1	23907985	23967058
RPL11	1	24018269	24022915
ELOA	1	24069645	24088549
ELOA-AS1	1	24086872	24104777
PITHD1	1	24104895	24114722
LYPLA2	1	24117460	24122029
GALE	1	24122089	24127271
HMGCL	1	24128375	24165110
FUCA1	1	24171567	24194784
CNR2	1	24197016	24285549
BTBD6P1	1	24227961	24229227
MIR378F	1	24255560	24255637
H3P1	1	24275506	24275873
PNRC2	1	24285599	24289952
SRSF10	1	24291294	24307417
MYOM3	1	24382525	24438665
MYOM3-AS1	1	24393264	24410055
IL22RA1	1	24446261	24469611
IFNLR1	1	24480647	24514449
LINC02800	1	24526730	24538183
GRHL3-AS1	1	24634046	24648391
GRHL3	1	24645812	24690972
STPG1	1	24683489	24743424
NIPAL3	1	24742284	24799466
RCAN3	1	24829387	24867530
NCMAP-DT	1	24865292	24882515
NCMAP	1	24882602	24935819
SRRM1	1	24958207	24999758
CLIC4	1	25071848	25170815
RNU6-1208P	1	25104364	25104470
RUNX3	1	25226002	25291612
RUNX3-AS1	1	25287836	25289588
MIR4425	1	25349994	25350077
IFITM3P7	1	25451544	25451945
SYF2	1	25549170	25558993
RSRP1	1	25568728	25664704
RHD	1	25598884	25656936
SDHDP6	1	25620655	25621134
TMEM50A	1	25664408	25688852
RNU6-1171P	1	25667462	25667525
RHCE	1	25688740	25756683
MACO1	1	25757388	25826700
LDLRAP1	1	25870071	25895377
MAN1C1	1	25943959	26112698
SELENON	1	26126667	26144713
MTFR1L	1	26145131	26159432
AUNIP	1	26158414	26185903
PAQR7	1	26187701	26197744
STMN1	1	26210672	26233482
SNRPFP2	1	26213851	26214101
MIR3917	1	26232853	26232945
PAFAH2	1	26286258	26324648
RNU6-110P	1	26290688	26290791
EXTL1	1	26346375	26362955
SLC30A2	1	26363743	26372624
TRIM63	1	26377795	26394927
PDIK1L	1	26437664	26452034
FAM110D	1	26485511	26489119
ZNF593	1	26496362	26498551
ZNF593OS	1	26496438	26498312
CNKSR1	1	26503894	26516377
CATSPER4	1	26517052	26529459
ZPLD2P	1	26536232	26556331
CEP85	1	26560691	26605299
SH3BGRL3	1	26605667	26608007
UBXN11	1	26607819	26644854
CD52	1	26644448	26647014
CRYBG2	1	26648350	26680621
ZNF683	1	26688125	26701013
LIN28A	1	26737269	26756213
DHDDS	1	26758773	26797785
DHDDS-AS1	1	26789247	26793773
HMGN2	1	26798941	26802463
DPPA2P2	1	26845845	26846741
RPS6KA1	1	26856252	26901521
MIR1976	1	26881033	26881084
RN7SL679P	1	26919737	26920037
ARID1A	1	27022524	27108595
PIGV	1	27113963	27124889
RN7SL165P	1	27141313	27141601
ZDHHC18	1	27153201	27184093
SFN	1	27189633	27190947
GPN2	1	27202624	27216788
GPATCH3	1	27216979	27226957
NUDC	1	27226729	27273353
NR0B2	1	27237980	27240457
KDF1	1	27276053	27286897
RPL12P13	1	27306656	27307466
RPL32P6	1	27310119	27310515
OSTCP2	1	27312388	27312831
TRNP1	1	27320198	27327389
TENT5B	1	27331511	27339327
SLC9A1	1	27425306	27493472
CHCHD3P3	1	27527325	27527964
NPM1P39	1	27533421	27534287
SNRPEP7	1	27537756	27537975
WDTC1	1	27561007	27635110
TMEM222	1	27648651	27662891
RNU6-48P	1	27651710	27651816
ACTG1P20	1	27651820	27652287
SYTL1	1	27668513	27680421
MAP3K6	1	27681675	27693383
FCN3	1	27695603	27701315
CD164L2	1	27705666	27709870
GPR3	1	27719148	27722318
WASF2	1	27730730	27816669
AHDC1	1	27860546	27930942
FGR	1	27938575	27961788
LINC02574	1	27986839	27989233
IFI6	1	27992572	27998729
RNU6-949P	1	28002114	28002220
CHMP1AP1	1	28013321	28013982
RNU6-424P	1	28020242	28020346
FAM76A	1	28052490	28089633
RPEP3	1	28066465	28067140
STX12	1	28099694	28150963
RNU6-1245P	1	28151049	28151154
PPP1R8	1	28157289	28178187
SCARNA1	1	28160912	28161077
THEMIS2	1	28199055	28213196
RPA2	1	28218035	28241257
SMPDL3B	1	28261504	28285668
XKR8	1	28285973	28294607
EYA3	1	28296855	28415207
RN7SL559P	1	28358397	28358691
SPCS2P4	1	28421582	28422933
RNU6-176P	1	28469248	28469352
RNU7-29P	1	28470667	28470728
PTAFR	1	28473677	28520447
DNAJC8	1	28525967	28559536
ATP5IF1	1	28562620	28573417
SESN2	1	28586038	28609002
MED18	1	28655513	28662476
PHACTR4	1	28696114	28826881
RNU6ATAC27P	1	28807874	28807992
RCC1	1	28832455	28865812
SNHG3	1	28832492	28837404
SNORA73B	1	28835071	28835274
PRDX3P2	1	28852830	28853739
TRNAU1AP	1	28879597	28905051
SNHG12	1	28905050	28909495
SNORD99	1	28905261	28905334
TAF12	1	28915835	28969597
RAB42	1	28918712	28921955
LINC01715	1	28969740	28975093
RNU11	1	28975112	28975245
GMEB1	1	28995244	29045865
YTHDF2	1	29063133	29096287
OPRD1	1	29138654	29190208
EPB41	1	29213603	29446553
TMEM200B	1	29445940	29450447
SRSF4	1	29474255	29508499
MECR	1	29519385	29557454
PTPRU	1	29563028	29653325
LINC01756	1	29656132	29676626
LINC01648	1	30486799	30510459
MATN1	1	31184124	31196434
MATN1-AS1	1	31191351	31199674
LAPTM5	1	31205316	31230667
MIR4420	1	31212003	31212079
LINC01778	1	31297075	31307131
RN7SKP91	1	31316670	31316957
SDC3	1	31342314	31381608
PUM1	1	31404353	31538838
SELENOWP1	1	31567834	31568405
NKAIN1	1	31652592	31712401
SNRNP40	1	31732417	31769662
ZCCHC17	1	31769842	31837783
FABP3	1	31838472	31849697
SERINC2	1	31882412	31907525
RNU6-40P	1	31970419	31970525
TINAGL1	1	32042116	32053288
HCRTR1	1	32083287	32098119
PEF1	1	32095463	32110497
PEF1-AS1	1	32109650	32125539
COL16A1	1	32117848	32169920
ADGRB2	1	32192718	32230494
MIR4254	1	32224261	32224336
SPOCD1	1	32256023	32281652
PTP4A2	1	32372022	32410457
KHDRBS1	1	32479430	32526451
TMEM39B	1	32537632	32568467
MIR5585	1	32552550	32552608
KPNA6	1	32573639	32642169
TXLNA	1	32645287	32663886
CCDC28B	1	32665987	32670988
IQCC	1	32671236	32674288
DCDC2B	1	32674695	32681797
TMEM234	1	32680073	32687972
EIF3I	1	32687529	32697205
MTMR9LP	1	32697259	32707221
FAM167B	1	32712834	32714457
LCK	1	32716840	32751766
HDAC1	1	32757687	32799236
MARCKSL1	1	32799433	32801980
TSSK3	1	32817122	32829913
FAM229A	1	32826871	32829879
BSDC1	1	32830704	32860332
GAPDHP20	1	32867710	32868716
LRRC37A12P	1	32888815	32892390
RN7SL122P	1	32923436	32923733
ZBTB8B	1	32930670	32962287
ZBTB8A	1	33005028	33071540
ZBTB8OS	1	33065773	33116504
RBBP4	1	33116743	33151812
SYNC	1	33145507	33169197
KIAA1522	1	33207486	33240571
YARS1	1	33240840	33283754
S100PBP	1	33282368	33324476
FNDC5	1	33327869	33338083
HPCA	1	33351595	33364042
TMEM54	1	33360195	33367039
RNF19B	1	33402046	33430286
AK2	1	33473585	33546597
AZIN2	1	33546705	33586131
TRIM62	1	33611003	33647660
ZNF362	1	33722146	33766320
A3GALT2	1	33772367	33786699
PHC2	1	33789224	33896653
MIR3605	1	33797994	33798093
RN7SKP16	1	33802167	33802465
PHC2-AS1	1	33815953	33828846
TLR12P	1	33931850	33934555
ZSCAN20	1	33938246	33962107
CSMD2	1	33979609	34631443
HSPD1P14	1	34304124	34305741
HMGB4	1	34326076	34330392
CSMD2-AS1	1	34334554	34351059
RNA5SP42	1	34578550	34578664
C1orf94	1	34632484	34684732
MIR552	1	35135200	35135295
SMIM12	1	35178338	35325417
GJB5	1	35220648	35224113
GJB4	1	35225342	35229325
GJB3	1	35246790	35251970
GJA4	1	35258599	35261348
DLGAP3	1	35331037	35395186
GPR199P	1	35439957	35450914
TMEM35B	1	35447136	35450954
ZMYM6	1	35449523	35497569
RPL12P45	1	35519069	35524872
ZMYM1	1	35525387	35581460
EFCAB14P1	1	35587623	35588085
SFPQ	1	35641979	35658749
ZMYM4	1	35734568	35887659
RN7SL503P	1	35757801	35758099
RPL5P4	1	35816323	35817208
ZMYM4-AS1	1	35824423	35831678
KIAA0319L	1	35899091	36023551
NCDN	1	36023074	36032875
TFAP2E-AS1	1	36035414	36043330
TFAP2E	1	36038971	36060929
PSMB2	1	36067185	36107445
C1orf216	1	36179476	36185073
CLSPN	1	36185819	36235568
AGO4	1	36273773	36323491
AGO1	1	36335409	36395211
CFAP97P1	1	36338871	36339353
AGO3	1	36396319	36538101
TEKT2	1	36549676	36553876
ADPRS	1	36554476	36559533
COL8A2	1	36560837	36590821
TRAPPC3	1	36602173	36615098
MAP7D1	1	36621180	36646450
RN7SL131P	1	36657516	36657769
THRAP3	1	36690017	36770958
UBE2V2P4	1	36707499	36707757
SH3D21	1	36771988	36790484
EVA1B	1	36787632	36789755
STK40	1	36805225	36851497
LSM10	1	36856839	36863493
RNU4-27P	1	36868322	36868460
OSCP1	1	36881428	36916086
SNORA63C	1	36884051	36884179
MRPS15	1	36921319	36930038
CSF3R	1	36931644	36948879
FTLP18	1	37095936	37096458
GRIK3	1	37261128	37499730
MIR4255	1	37627164	37627235
RNU6-636P	1	37669211	37669317
RNA5SP43	1	37730278	37730387
RPS29P6	1	37796453	37796597
LINC01137	1	37920480	37940012
ZC3H12A	1	37940153	37949980
MEAF6	1	37958176	37980375
MIR5581	1	37966536	37966595
SNIP1	1	38000050	38019903
FTH1P1	1	38010364	38010895
DNALI1	1	38022520	38032458
GNL2	1	38032417	38061536
RSPO1	1	38076951	38100595
C1orf109	1	38147242	38157914
CDCA8	1	38158090	38175391
EPHA10	1	38179552	38230805
ACTN4P2	1	38242342	38245090
MANEAL	1	38259474	38266809
YRDC	1	38268616	38273857
C1orf122	1	38272651	38275126
MTF1	1	38275239	38325292
INPP5B	1	38326369	38412729
RNU6-584P	1	38350695	38350789
SF3A3	1	38422647	38456593
RNU6-510P	1	38457134	38457241
FHL3	1	38462442	38471278
UTP11	1	38474930	38490496
POU3F1	1	38509523	38512450
MIR3659HG	1	38512986	38584697
MIR3659	1	38554903	38555001
LINC01343	1	38674706	38680439
RNU6-753P	1	38862331	38862437
LINC01685	1	38940868	38942156
HSPA5P1	1	39174603	39176562
RRAGC	1	39303870	39325495
MYCBP	1	39328636	39347289
GJA9	1	39330175	39347289
RHBDL2	1	39351479	39407471
RNU6-605P	1	39392542	39392649
EIF1P2	1	39423947	39424597
AKIRIN1	1	39456895	39471731
NDUFS5	1	39491990	39500308
MACF1	1	39546988	39952849
RNU6-608P	1	39586612	39586715
RNA5SP44	1	39619836	39619968
HSPE1P8	1	39769966	39770570
BMP8A	1	39957318	39991607
OXCT2P1	1	39980628	39982162
PPIEL	1	39997510	40024379
PABPC4	1	40026488	40042462
PABPC4-AS1	1	40030832	40038875
SNORA55	1	40033046	40033180
HEYL	1	40089825	40105617
NT5C1A	1	40124793	40137710
HPCAL4	1	40144320	40157361
PPIE	1	40157854	40229586
