chrom,chromStart,chromEnd,target
1,117699195,117699543,VTCN1_3_CODING
1,117712728,117712793,VTCN1_2_CODING
1,117715808,117715888,VTCN1_1_CODING
1,117746239,117746458,VTCN1_1_CODING
1,117753445,117753556,VTCN1_1_CODING
1,118148555,118148775,TENT5C_1_CODING
1,118165463,118170994,TENT5C_2_CODING
1,120049820,120049885,HSD3B1_1_CODING
1,120049940,120050244,HSD3B1_2_CODING
1,120054125,120054290,HSD3B1_3_CODING
1,120056456,120057681,HSD3B1_4_CODING
1,120454175,120459317,NOTCH2_34_CODING
1,120460287,120460385,NOTCH2_33_CODING
1,120461028,120461176,NOTCH2_32_CODING
1,120461934,120462236,NOTCH2_31_CODING
1,120462851,120463020,NOTCH2_30_CODING
1,120464335,120464432,NOTCH2_29_CODING
1,120464858,120465069,NOTCH2_28_CODING
1,120465258,120465401,NOTCH2_27_CODING
1,120466259,120466607,NOTCH2_26_CODING
1,120467927,120468433,NOTCH2_25_CODING
1,120469121,120469234,NOTCH2_24_CODING
1,120471598,120471835,NOTCH2_23_CODING
1,120478094,120478227,NOTCH2_22_CODING
1,120479904,120480089,NOTCH2_21_CODING
1,120480479,120480633,NOTCH2_20_CODING
1,120483177,120483379,NOTCH2_19_CODING
1,120484148,120484377,NOTCH2_18_CODING
1,120491036,120491189,NOTCH2_17_CODING
1,120491629,120491749,NOTCH2_16_CODING
1,120493346,120493460,NOTCH2_15_CODING
1,120496165,120496311,NOTCH2_14_CODING
1,120497662,120497855,NOTCH2_13_CODING
1,120502014,120502125,NOTCH2_12_CODING
1,120506196,120506430,NOTCH2_11_CODING
1,120508075,120508189,NOTCH2_10_CODING
1,120508998,120509112,NOTCH2_9_CODING
1,120510055,120510244,NOTCH2_8_CODING
1,120510699,120510855,NOTCH2_7_CODING
1,120512133,120512367,NOTCH2_6_CODING
1,120529582,120529705,NOTCH2_5_CODING
1,120535403,120539369,NOTCH2_6_CODING
1,120539619,120539955,NOTCH2_4_CODING
1,120547951,120548211,NOTCH2_3_CODING
1,120572528,120572610,NOTCH2_2_CODING
1,120594097,120594393,NOTCH2_2_CODING
1,120596733,120596839,NOTCH2_1_CODING
1,120611947,120612240,NOTCH2_1_CODING
1,149784825,149785236,H3C13_1_CODING
1,149811109,149812765,H3C14_1_CODING
1,149824180,149825836,H3C15_1_CODING
1,150547031,150549967,MCL1_3_CODING
1,150550719,150550967,MCL1_2_CODING
1,150551318,150552066,MCL1_1_CODING
1,155867598,155870409,RIT1_6_CODING
1,155874101,155874293,RIT1_5_CODING
1,155874521,155874595,RIT1_4_CODING
1,155880240,155880297,RIT1_3_CODING
1,155880446,155880706,RIT1_2_CODING
1,155881033,155881195,RIT1_1_CODING
1,156785447,156785630,NTRK1_1_CODING
1,156811872,156811985,NTRK1_2_CODING
1,156830606,156830938,NTRK1_1_CODING
1,156834145,156834220,NTRK1_3_CODING
1,156834519,156834591,NTRK1_4_CODING
1,156836701,156836770,NTRK1_5_CODING
1,156837895,156838041,NTRK1_6_CODING
1,156838296,156838439,NTRK1_7_CODING
1,156841414,156841547,NTRK1_8_CODING
1,156843424,156843751,NTRK1_9_CODING
1,156844174,156844192,NTRK1_9_CODING
1,156844362,156844418,NTRK1_10_CODING
1,156844697,156844800,NTRK1_11_CODING
1,156845311,156845458,NTRK1_12_CODING
1,156845862,156846002,NTRK1_13_CODING
1,156846191,156846364,NTRK1_14_CODING
1,156848913,156849154,NTRK1_15_CODING
1,156849790,156849949,NTRK1_16_CODING
1,156851248,156851642,NTRK1_17_CODING
1,158580495,158581179,SPTA1_52_CODING
1,158582606,158582751,SPTA1_51_CODING
1,158583510,158583657,SPTA1_50_CODING
1,158584042,158584096,SPTA1_49_CODING
1,158585005,158585193,SPTA1_48_CODING
1,158587326,158587378,SPTA1_47_CODING
1,158587828,158587846,SPTA1_46_CODING
1,158589011,158589124,SPTA1_45_CODING
1,158589959,158590256,SPTA1_44_CODING
1,158592772,158592982,SPTA1_43_CODING
1,158595935,158596012,SPTA1_42_CODING
1,158596628,158596797,SPTA1_41_CODING
1,158597414,158597513,SPTA1_40_CODING
1,158604332,158604465,SPTA1_39_CODING
1,158605702,158605824,SPTA1_38_CODING
1,158606430,158606551,SPTA1_37_CODING
1,158607822,158608031,SPTA1_36_CODING
1,158609371,158609476,SPTA1_35_CODING
1,158609659,158609797,SPTA1_34_CODING
1,158612200,158612332,SPTA1_33_CODING
1,158612603,158612766,SPTA1_32_CODING
1,158613111,158613215,SPTA1_31_CODING
1,158614042,158614186,SPTA1_30_CODING
1,158614977,158615175,SPTA1_29_CODING
1,158615284,158615384,SPTA1_28_CODING
1,158617328,158617510,SPTA1_27_CODING
1,158618298,158618443,SPTA1_26_CODING
1,158619645,158619737,SPTA1_25_CODING
1,158621156,158621258,SPTA1_24_CODING
1,158622256,158622443,SPTA1_23_CODING
1,158623063,158623215,SPTA1_22_CODING
1,158624400,158624538,SPTA1_21_CODING
1,158626353,158626446,SPTA1_20_CODING
1,158627266,158627484,SPTA1_19_CODING
1,158631076,158631199,SPTA1_18_CODING
1,158632491,158632735,SPTA1_17_CODING
1,158636105,158636287,SPTA1_16_CODING
1,158637647,158637852,SPTA1_15_CODING
1,158639197,158639353,SPTA1_14_CODING
1,158639498,158639576,SPTA1_13_CODING
1,158641132,158641243,SPTA1_12_CODING
1,158641848,158641986,SPTA1_11_CODING
1,158644118,158644220,SPTA1_10_CODING
1,158644329,158644465,SPTA1_9_CODING
1,158645930,158646085,SPTA1_8_CODING
1,158647479,158647624,SPTA1_7_CODING
1,158648190,158648324,SPTA1_6_CODING
1,158650372,158650519,SPTA1_5_CODING
1,158651316,158651457,SPTA1_4_CODING
1,158653160,158653286,SPTA1_3_CODING
1,158654897,158655137,SPTA1_2_CODING
1,158656283,158656488,SPTA1_1_CODING
1,161284046,161284215,SDHC_1_CODING
1,161293403,161293460,SDHC_2_CODING
1,161298185,161298287,SDHC_3_CODING
1,161310383,161310445,SDHC_4_CODING
1,161326466,161326630,SDHC_5_CODING
1,161332118,161332984,SDHC_6_CODING
1,162601162,162601237,DDR2_1_CODING
1,162601800,162601883,DDR2_1_CODING
1,162602254,162602421,DDR2_1_CODING
1,162625000,162625164,DDR2_2_CODING
1,162674841,162674921,DDR2_3_CODING
1,162688826,162688935,DDR2_3_CODING
1,162722884,162722987,DDR2_4_CODING
1,162724413,162724645,DDR2_5_CODING
1,162724945,162725093,DDR2_6_CODING
1,162725453,162725559,DDR2_8_CODING
1,162729585,162729769,DDR2_9_CODING
1,162731000,162731244,DDR2_10_CODING
1,162735790,162735853,DDR2_11_CODING
1,162737018,162737149,DDR2_12_CODING
1,162740091,162740526,DDR2_13_CODING
1,162741813,162742225,DDR2_14_CODING
1,162743258,162743386,DDR2_15_CODING
1,162745441,162745633,DDR2_16_CODING
1,162745925,162746160,DDR2_17_CODING
1,162748369,162748519,DDR2_18_CODING
1,162749901,162757190,DDR2_19_CODING
1,175913966,175914306,COP1_20_CODING
1,175916330,175916375,COP1_19_CODING
1,175956078,175956239,COP1_18_CODING
1,175957423,175957548,COP1_17_CODING
1,175958497,175958615,COP1_16_CODING
1,175996707,175996824,COP1_15_CODING
1,176012321,176012403,COP1_14_CODING
1,176012845,176012954,COP1_13_CODING
1,176015316,176015460,COP1_12_CODING
1,176050287,176050423,COP1_11_CODING
1,176054911,176055026,COP1_10_CODING
1,176085759,176085817,COP1_9_CODING
1,176102982,176103036,COP1_2_CODING
1,176104145,176104222,COP1_8_CODING
1,176105623,176105683,COP1_7_CODING
1,176118141,176118210,COP1_6_CODING
1,176132004,176132124,COP1_5_CODING
1,176132950,176133027,COP1_4_CODING
1,176145045,176145143,COP1_3_CODING
1,176153768,176153828,COP1_2_CODING
1,176175484,176175517,COP1_1_CODING
1,176175707,176176629,COP1_1_CODING
1,179068461,179078576,ABL2_12_CODING
1,179079416,179079590,ABL2_11_CODING
1,179079715,179079980,ABL2_10_CODING
1,179081443,179081533,ABL2_10_CODING
1,179084012,179084165,ABL2_9_CODING
1,179086466,179086651,ABL2_8_CODING
1,179087721,179087899,ABL2_7_CODING
1,179089324,179089409,ABL2_6_CODING
1,179090729,179091002,ABL2_5_CODING
1,179095511,179095807,ABL2_4_CODING
1,179100445,179100616,ABL2_3_CODING
1,179102446,179102509,ABL2_2_CODING
1,179112067,179112224,ABL2_1_CODING
1,179198375,179198819,ABL2_1_CODING
1,193091146,193091461,CDC73_1_CODING
1,193094241,193094347,CDC73_2_CODING
1,193099303,193099373,CDC73_3_CODING
1,193104520,193104583,CDC73_4_CODING
1,193104666,193104719,CDC73_5_CODING
1,193107214,193107303,CDC73_6_CODING
1,193110979,193111196,CDC73_7_CODING
1,193116996,193117095,CDC73_8_CODING
1,193119433,193119512,CDC73_9_CODING
1,193121509,193121574,CDC73_10_CODING
1,193172924,193172982,CDC73_11_CODING
1,193181194,193181230,CDC73_12_CODING
1,193181519,193181607,CDC73_13_CODING
1,193202122,193202284,CDC73_14_CODING
1,193205385,193205486,CDC73_15_CODING
1,193218859,193219001,CDC73_16_CODING
1,193219805,193223031,CDC73_17_CODING
1,204391755,204394168,PIK3C2B_34_CODING
1,204394740,204394869,PIK3C2B_33_CODING
1,204396775,204396882,PIK3C2B_32_CODING
1,204397266,204397348,PIK3C2B_31_CODING
1,204399048,204399166,PIK3C2B_30_CODING
1,204400796,204400921,PIK3C2B_29_CODING
1,204401327,204401529,PIK3C2B_28_CODING
1,204402443,204402553,PIK3C2B_27_CODING
1,204402920,204403077,PIK3C2B_26_CODING
1,204403566,204403736,PIK3C2B_25_CODING
1,204408062,204408199,PIK3C2B_24_CODING
1,204409319,204409449,PIK3C2B_23_CODING
1,204410598,204410691,PIK3C2B_22_CODING
1,204411653,204411761,PIK3C2B_21_CODING
1,204412544,204412725,PIK3C2B_20_CODING
1,204413195,204413290,PIK3C2B_19_CODING
1,204413458,204413552,PIK3C2B_18_CODING
1,204415083,204415272,PIK3C2B_17_CODING
1,204416563,204416706,PIK3C2B_16_CODING
1,204418312,204418424,PIK3C2B_15_CODING
1,204418977,204419145,PIK3C2B_14_CODING
1,204423796,204423919,PIK3C2B_13_CODING
1,204424983,204425179,PIK3C2B_12_CODING
1,204426164,204426198,PIK3C2B_11_CODING
1,204426855,204427002,PIK3C2B_10_CODING
1,204429005,204429069,PIK3C2B_9_CODING
1,204429451,204429531,PIK3C2B_8_CODING
1,204429677,204429789,PIK3C2B_7_CODING
1,204433139,204433260,PIK3C2B_6_CODING
1,204433577,204433732,PIK3C2B_5_CODING
1,204434346,204434447,PIK3C2B_4_CODING
1,204435898,204436474,PIK3C2B_1_CODING
1,204437997,204439014,PIK3C2B_3_CODING
1,204458943,204459059,PIK3C2B_2_CODING
1,204459195,204459552,PIK3C2B_1_CODING
1,204463483,204463852,PIK3C2B_1_CODING
1,204485510,204485637,MDM4_1_CODING
1,204494611,204494724,MDM4_2_CODING
1,204495487,204495562,MDM4_3_CODING
1,204499811,204499945,MDM4_4_CODING
1,204501318,204501374,MDM4_5_CODING
1,204501896,204501947,MDM4_5_CODING
1,204506045,204506169,MDM4_6_CODING
1,204506557,204506625,MDM4_6_CODING
1,204506984,204507119,MDM4_1_CODING
1,204507336,204507436,MDM4_7_CODING
1,204511911,204512072,MDM4_8_CODING
1,204513662,204513812,MDM4_9_CODING
1,204515924,204516005,MDM4_10_CODING
1,204518240,204527248,MDM4_11_CODING
1,204527768,204527857,MDM4_6_CODING
1,204536888,204537036,MDM4_7_CODING
1,204539787,204539874,MDM4_8_CODING
1,204542814,204542871,MDM4_9_CODING
1,206643790,206644041,IKBKE_1_CODING
1,206644498,206644588,IKBKE_2_CODING
1,206646538,206646657,IKBKE_3_CODING
1,206647673,206647814,IKBKE_4_CODING
1,206648207,206648337,IKBKE_5_CODING
1,206649523,206649705,IKBKE_6_CODING
1,206650020,206650181,IKBKE_7_CODING
1,206651091,206651202,IKBKE_8_CODING
1,206651502,206651682,IKBKE_9_CODING
1,206652285,206652476,IKBKE_10_CODING
1,206653212,206653277,IKBKE_11_CODING
1,206653364,206653456,IKBKE_12_CODING
1,206653789,206653876,IKBKE_13_CODING
1,206658333,206658409,IKBKE_14_CODING
1,206658530,206658643,IKBKE_15_CODING
1,206661250,206661327,IKBKE_16_CODING
1,206664151,206664191,IKBKE_17_CODING
1,206664980,206665082,IKBKE_18_CODING
1,206666355,206666452,IKBKE_19_CODING
1,206666598,206666711,IKBKE_20_CODING
1,206667252,206667324,IKBKE_21_CODING
1,206669444,206670223,IKBKE_22_CODING
1,206940946,206942073,IL10_5_CODING
1,206943173,206943239,IL10_4_CODING
1,206944251,206944404,IL10_3_CODING
1,206944700,206944760,IL10_2_CODING
1,206945615,206945839,IL10_1_CODING
1,226249551,226249795,H3-3A_1_CODING
1,226250378,226250512,H3-3A_2_CODING
1,226251677,226252180,H3-3A_3_CODING
1,226253356,226254970,H3-3A_4_CODING
1,226259051,226259702,H3-3A_5_CODING
1,226548391,226549242,PARP1_23_CODING
1,226549669,226549784,PARP1_22_CODING
1,226550799,226550861,PARP1_21_CODING
1,226551643,226551771,PARP1_20_CODING
1,226552702,226552855,PARP1_19_CODING
1,226553654,226553753,PARP1_18_CODING
1,226555180,226555309,PARP1_17_CODING
1,226555899,226556022,PARP1_16_CODING
1,226558134,226558218,PARP1_15_CODING
1,226561926,226562055,PARP1_14_CODING
1,226564808,226565004,PARP1_13_CODING
1,226566842,226566975,PARP1_12_CODING
1,226567273,226567342,PARP1_11_CODING
1,226567622,226567865,PARP1_10_CODING
1,226568768,226568909,PARP1_9_CODING
1,226570736,226570884,PARP1_8_CODING
1,226573204,226573381,PARP1_7_CODING
1,226574026,226574143,PARP1_6_CODING
1,226576356,226576456,PARP1_5_CODING
1,226578110,226578325,PARP1_4_CODING
1,226579899,226580015,PARP1_3_CODING
1,226580617,226580681,PARP1_3_CODING
1,226589683,226590080,PARP1_2_CODING
1,226595510,226595780,PARP1_1_CODING
